CLICK_STATE,X_POS,Y_POS,X_HAND,Y_HAND,HAND_STATE,HAND_CONFIDENCE,TRACKING_STATE,TIME,PARASITE
None,827.466890815089,406.62959879734,0.0432029701769352,-0.193026572465897,Unknown,Low,Inferred,11:36:23:721,
None,820.862178703377,697.440109479679,0.0402073115110397,-0.167288213968277,Unknown,Low,Inferred,11:36:23:803,
None,825.962672569528,909.252289848169,0.0425249487161636,-0.155875608325005,Unknown,Low,Tracked,11:36:23:848,
PressedDown,846.186810633495,1053.40268574876,0.0522206500172615,-0.129472345113754,Closed,High,Tracked,11:36:23:917,
None,885.386394159599,1143.58787897995,0.0706822052598,-0.0968354716897011,Closed,High,Tracked,11:36:24:027,
None,936.925745424115,1170.80558040773,0.0968339815735817,-0.0234343875199556,Closed,Low,Tracked,11:36:24:065,
None,932.543427837867,1170.73332276967,0.0952004194259644,0.0139726847410202,Unknown,Low,Tracked,11:36:24:131,
None,937.520779576835,1163.26090606824,0.0979153141379356,0.0275628250092268,Unknown,Low,Tracked,11:36:24:218,
PressedUp,948.145512432778,1146.14439570012,0.103193506598473,0.0488255992531776,Open,Low,Tracked,11:36:24:247,
None,952.669012909858,1130.07909138915,0.105276614427567,0.0547434017062187,Open,Low,Tracked,11:36:24:320,
None,958.42894416302,1109.5021361316,0.108194246888161,0.0701481029391289,Open,Low,Tracked,11:36:24:351,
None,962.836211044911,1089.71584536061,0.110217310488224,0.0779748409986496,Open,Low,Tracked,11:36:24:372,
None,990.094118710659,1061.04175512639,0.122656039893627,0.103121571242809,Open,Low,Tracked,11:36:24:422,
None,982.57480372864,1032.10297536925,0.119130983948708,0.116408355534077,Unknown,Low,Inferred,11:36:24:514,
None,978.190816307644,1007.08839814388,0.116905815899372,0.12223020195961,Unknown,Low,Inferred,11:36:24:558,
None,976.074268022981,984.037970805465,0.115470103919506,0.129613950848579,Unknown,Low,Inferred,11:36:24:598,
None,975.927830063973,962.616523496323,0.114778913557529,0.136741921305656,Unknown,Low,Tracked,11:36:24:693,
None,974.258077170842,942.615865333626,0.113516509532928,0.143365412950516,Open,High,Tracked,11:36:24:719,
None,976.322385821386,920.64934501361,0.113774284720421,0.155680894851685,Open,High,Tracked,11:36:24:752,
None,977.842213747653,896.346122137666,0.114148437976837,0.169606506824493,Open,High,Tracked,11:36:24:797,
None,977.891932258721,875.116669522786,0.113989152014256,0.174830004572868,Open,High,Tracked,11:36:24:821,
None,977.248210963454,854.298387202679,0.112684659659863,0.183225616812706,Open,High,Tracked,11:36:24:896,
None,976.345861733428,835.978208940498,0.111773632466793,0.187808886170387,Open,High,Tracked,11:36:24:942,
None,975.203874846167,819.541144787844,0.110996514558792,0.192571520805359,Open,High,Tracked,11:36:24:989,
None,974.385786787189,804.909801453333,0.110293693840504,0.196331217885017,Open,High,Tracked,11:36:25:036,
None,971.875730484562,792.199731298479,0.108991570770741,0.199277922511101,Open,High,Tracked,11:36:25:074,
None,970.474690018392,781.052415739382,0.107889115810394,0.202026456594467,Open,High,Tracked,11:36:25:137,
None,969.298225954868,770.823564067516,0.10690950602293,0.205294951796532,Open,High,Tracked,11:36:25:273,
None,970.232875027613,760.667726893187,0.106894545257092,0.209641247987747,Open,High,Tracked,11:36:25:313,
None,978.906455093568,748.945028229846,0.110188029706478,0.216941699385643,Open,High,Tracked,11:36:25:339,
None,988.293316531686,736.791561401352,0.11406247317791,0.22287406027317,Open,High,Tracked,11:36:25:379,
None,999.533727281691,725.197820789913,0.118623904883862,0.227187618613243,Open,High,Tracked,11:36:25:435,
None,1009.30571482218,713.92456878656,0.122755400836468,0.23173676431179,Open,High,Tracked,11:36:25:475,
None,1032.12469422954,697.579963462991,0.132713317871094,0.245917797088623,Open,High,Tracked,11:36:25:525,
None,1038.55052938663,683.113840595396,0.134858563542366,0.249885976314545,Open,High,Tracked,11:36:25:561,
None,1044.78588878597,670.485006779086,0.137317985296249,0.253066211938858,Open,High,Tracked,11:36:25:599,
None,1051.12186391433,659.79346890803,0.139739990234375,0.255143076181412,Open,High,Tracked,11:36:25:628,
None,1062.17291212975,650.937098702009,0.143767386674881,0.256569236516953,Open,High,Tracked,11:36:25:680,
None,1069.38758049587,643.686018943569,0.146851629018784,0.257571876049042,Open,High,Tracked,11:36:25:716,
