CLICK_STATE,X_POS,Y_POS,X_HAND,Y_HAND,HAND_STATE,HAND_CONFIDENCE,TRACKING_STATE,TIME,PARASITE
None,698.93477444375,108.025279936545,0.142025113105774,0.364231318235397,Unknown,Low,Inferred,11:54:31:684,
None,694.067247081307,212.499115287573,0.139748439192772,0.321065932512283,Unknown,Low,Inferred,11:54:31:766,
PressedDown,696.14645327715,316.804370432966,0.14059229195118,0.273758977651596,Closed,High,Tracked,11:54:31:822,
None,702.562727811761,424.325692090383,0.143566355109215,0.219985738396645,Closed,High,Tracked,11:54:31:850,
None,752.101076807788,576.941402664789,0.165958628058434,0.0911209657788277,Closed,High,Tracked,11:54:31:954,
None,827.161736700398,771.084257771637,0.199677765369415,-0.0535050183534622,Unknown,Low,Tracked,11:54:32:019,
None,859.211145134779,958.866922825134,0.213906586170197,-0.129903540015221,Unknown,Low,Tracked,11:54:32:059,
None,940.28262076594,1125.14403407783,0.25096920132637,-0.176188573241234,Unknown,Low,Tracked,11:54:32:084,
None,991.266007099555,1269.54791215687,0.275232762098312,-0.211864024400711,NotTracked,High,Tracked,11:54:32:130,
None,1096.71086546618,1390.15299261635,0.32583886384964,-0.232357501983643,Unknown,Low,Tracked,11:54:32:384,
None,1073.72906079998,1470.03594683202,0.315628081560135,-0.212888687849045,Unknown,Low,Tracked,11:54:32:414,
None,1048.64394374513,1519.18423581486,0.304445892572403,-0.193153664469719,Unknown,Low,Tracked,11:54:32:447,
None,1022.34548710941,1539.78735209421,0.292639493942261,-0.163243904709816,Unknown,Low,Tracked,11:54:32:480,
None,1003.79634063582,1534.78788073154,0.284326076507568,-0.125749170780182,Unknown,Low,Tracked,11:54:32:514,
None,983.214841564905,1505.61844423514,0.275019228458405,-0.0792950913310051,Unknown,Low,Tracked,11:54:32:568,
None,967.444095475004,1451.84744541842,0.267897963523865,-0.0209862142801285,Unknown,Low,Tracked,11:54:32:610,
None,962.365702362867,1382.26764919691,0.265510767698288,0.0323599353432655,Unknown,Low,Tracked,11:54:32:657,
None,952.799006270786,1298.07468517182,0.261017024517059,0.0909306406974792,Unknown,Low,Tracked,11:54:32:679,
None,972.549336910536,1215.57375344105,0.269807040691376,0.126451596617699,Unknown,Low,Tracked,11:54:32:730,
None,959.291184617241,1125.52707478876,0.263671427965164,0.177882730960846,Unknown,Low,Tracked,11:54:32:757,
None,954.681245635571,1034.37893263126,0.261490941047668,0.221049815416336,Unknown,Low,Tracked,11:54:32:790,
None,949.934642139446,932.63770662313,0.258930891752243,0.28179869055748,Unknown,Low,Tracked,11:54:32:834,
None,946.811379953021,846.516228349284,0.257165402173996,0.299727320671082,Unknown,Low,Tracked,11:54:32:859,
None,938.313083422796,774.311057910873,0.252855509519577,0.313638657331467,Open,Low,Tracked,11:54:32:887,
None,929.677672177571,716.58425759155,0.248236417770386,0.320085316896439,Open,Low,Tracked,11:54:32:928,
None,919.820842298064,671.637944535906,0.243206232786179,0.323198705911636,Open,Low,Tracked,11:54:32:962,
None,908.031506116585,636.884587583206,0.237395465373993,0.325055450201035,Open,Low,Tracked,11:54:32:977,
None,893.307795526326,609.470777222095,0.230458408594131,0.327558547258377,Open,Low,Tracked,11:54:33:015,
None,880.387580132845,587.719327962766,0.224278718233109,0.329694747924805,Open,Low,Tracked,11:54:33:094,
None,869.313137860024,570.048926616522,0.218716219067574,0.331996470689774,Open,High,Tracked,11:54:33:112,
None,834.560848136971,553.693392565254,0.202180236577988,0.337068736553192,Open,High,Tracked,11:54:33:161,
