CLICK_STATE,X_POS,Y_POS,X_HAND,Y_HAND,HAND_STATE,HAND_CONFIDENCE,TRACKING_STATE,TIME,PARASITE
None,416.448273550996,183.605299363035,-0.0898639634251595,0.108498081564903,Open,High,Tracked,15:24:28:585,
None,420.945834291233,321.865091477852,-0.087445467710495,0.107222586870193,Open,High,Tracked,15:24:28:624,
None,424.16035622081,428.327334683431,-0.085845835506916,0.102391079068184,NotTracked,High,Tracked,15:24:28:664,
None,419.192614217107,506.626055720034,-0.0880266353487968,0.105239868164063,NotTracked,High,Tracked,15:24:28:708,
None,403.962223377401,562.207082785344,-0.095136970281601,0.111062452197075,NotTracked,High,Tracked,15:24:28:742,
None,378.124305528024,595.523469433722,-0.107353217899799,0.126500278711319,NotTracked,High,Tracked,15:24:28:787,
None,366.195079759096,619.313815324429,-0.112814135849476,0.128711372613907,NotTracked,High,Tracked,15:24:28:830,
None,351.036287176933,635.373428610304,-0.119717635214329,0.131948903203011,NotTracked,High,Tracked,15:24:28:853,
None,337.735382202817,646.005965876888,-0.126020833849907,0.134733304381371,NotTracked,High,Tracked,15:24:28:881,
None,321.751805851755,651.540109979564,-0.133338153362274,0.139171421527863,NotTracked,High,Tracked,15:24:28:919,
None,326.260826242222,678.860149938893,-0.132319986820221,0.136423766613007,NotTracked,High,Tracked,15:24:28:955,
None,340.171458277745,701.352262658185,-0.132576629519463,0.139438956975937,NotTracked,High,Tracked,15:24:28:994,
None,361.031606929468,729.794759012411,-0.122367031872272,0.12679523229599,NotTracked,High,Tracked,15:24:29:029,
None,372.766689852573,748.982076426802,-0.120800383388996,0.124544464051723,NotTracked,High,Tracked,15:24:29:056,
None,342.16344016441,744.363096142471,-0.126027375459671,0.138006299734116,Open,High,Tracked,15:24:29:096,
None,364.240071615351,757.972389170038,-0.121856547892094,0.130734458565712,Open,High,Tracked,15:24:29:142,
None,380.732063534324,765.407687008804,-0.117181278765202,0.126696050167084,NotTracked,High,Tracked,15:24:29:179,
None,378.820037264406,772.246481788016,-0.113974563777447,0.125370964407921,NotTracked,High,Tracked,15:24:29:237,
None,389.9483644497,781.488925189583,-0.110420934855938,0.124928571283817,NotTracked,High,Tracked,15:24:29:273,
None,403.834882106954,788.663542709073,-0.108351290225983,0.12577697634697,NotTracked,High,Tracked,15:24:29:317,
None,406.547217607066,783.344000148334,-0.103607408702374,0.138729199767113,Open,High,Tracked,15:24:29:365,
None,416.134213650983,783.150614301275,-0.101066164672375,0.131100729107857,Open,High,Tracked,15:24:29:412,
None,430.185545634935,776.437091669923,-0.0971500054001808,0.14517879486084,Open,High,Tracked,15:24:29:454,
None,432.285837587201,761.297738710297,-0.0943359062075615,0.147774651646614,Open,High,Tracked,15:24:29:496,
None,438.230719409608,743.510332963133,-0.0883393734693527,0.153778657317162,Open,High,Tracked,15:24:29:533,
None,466.46905745077,732.824472112217,-0.0838278904557228,0.157849714159966,Open,High,Tracked,15:24:29:568,
None,477.711907469182,726.759731324024,-0.0817724615335464,0.160410523414612,NotTracked,High,Tracked,15:24:29:603,
None,470.6681679717,715.394812066886,-0.0787564888596535,0.163929492235184,NotTracked,High,Tracked,15:24:29:642,
None,486.505077170749,707.798707640958,-0.0750390663743019,0.166692569851875,Open,High,Tracked,15:24:29:685,
None,511.666229004874,702.60531369097,-0.0672428235411644,0.174201533198357,Open,High,Tracked,15:24:29:718,
None,503.880460784082,690.763434623707,-0.0641793385148048,0.180715709924698,Open,High,Tracked,15:24:29:786,
None,525.230198435481,682.057497124672,-0.0568115785717964,0.190974727272987,Open,High,Tracked,15:24:29:831,
None,542.573372246203,673.327954865557,-0.0516120232641697,0.203248709440231,Open,High,Tracked,15:24:29:877,
None,535.788907335172,659.922950571397,-0.0477655306458473,0.207944110035896,Open,High,Tracked,15:24:29:936,
None,552.471735172329,650.562236069354,-0.0422711223363876,0.215438559651375,Open,High,Tracked,15:24:29:995,
None,563.180745570249,643.317688587222,-0.0378709807991982,0.224651873111725,Open,High,Tracked,15:24:30:036,
None,554.766562872711,628.946831277662,-0.0356933772563934,0.228074982762337,Open,High,Tracked,15:24:30:072,
None,568.589086568896,623.521212612055,-0.0326706133782864,0.229900568723679,Open,High,Tracked,15:24:30:110,
None,583.683950673705,622.718138081247,-0.0279333777725697,0.234386086463928,Open,High,Tracked,15:24:30:163,
None,592.745214799668,614.190419938834,-0.0256531033664942,0.237827986478806,Open,High,Tracked,15:24:30:208,
None,589.676226335278,609.510173713288,-0.0235659256577492,0.240767911076546,Open,High,Tracked,15:24:30:264,
None,599.592355811992,609.306941238274,-0.0186120662838221,0.244709625840187,Open,High,Tracked,15:24:30:302,
None,617.727866210534,591.741897590897,-0.0163028966635466,0.246408492326736,Open,High,Tracked,15:24:30:337,
None,620.050293250674,585.404663876691,-0.0136525025591254,0.249815568327904,Open,High,Tracked,15:24:30:372,
None,632.28584365571,572.813665252409,-0.0111170401796699,0.254902958869934,Open,High,Tracked,15:24:30:406,
None,630.371695304133,574.352321881413,-0.0053766556084156,0.249953985214233,Open,High,Tracked,15:24:30:448,
None,616.59651428796,573.434008503854,-0.00400257203727961,0.244398057460785,NotTracked,High,Tracked,15:24:30:483,
None,621.71437975604,581.672783014803,-0.00230847671627998,0.254429668188095,NotTracked,High,Tracked,15:24:30:547,
None,627.790384373598,586.680139218409,-0.000158432943862863,0.256772130727768,Open,High,Tracked,15:24:30:574,
None,647.383527653023,590.721852950138,0.00400734972208738,0.252700448036194,Open,High,Tracked,15:24:30:605,
