JOINT_TYPE,X_POS,Y_POS
ElbowRightAboveTolerance,0.06,0.1
ElbowLeftBelowTolerance,-0.15,-0.12
SpineShoulder,0.06788029,0.3465166
SpineBase,0.08664793,-0.2286743
ShoulderLeft,-0.1110433,0.2797486
ShoulderRight,0.228624,0.2928301
