GESTURE,LH_X,LH_Y,LH_TS,RH_X,RH_Y,RH_TS,LE_X,LE_Y,LE_TS,RE_X,RE_Y,RE_TS,TIME,PARASITE
NONE,-0.278609424829483,-0.187458321452141,Inferred,0.117298662662506,0.219219714403152,Tracked,-0.287684917449951,0.0407242253422737,Inferred,0.127339974045753,0.0856832191348076,Tracked,11:50:27:139,
NONE,-0.273539930582047,-0.193670943379402,Inferred,0.107539087533951,0.0964080020785332,Tracked,-0.286032140254974,0.0404388196766377,Inferred,0.127157106995583,0.0428118482232094,Tracked,11:50:27:182,
NONE,-0.274602562189102,-0.189251407980919,Inferred,0.108186900615692,0.0528911799192429,Tracked,-0.285250186920166,0.0406405627727509,Inferred,0.161180809140205,0.125462234020233,Tracked,11:50:27:240,
NONE,-0.273918479681015,-0.187401801347733,Inferred,0.105436034500599,0.0139500759541988,Tracked,-0.284586250782013,0.0406746305525303,Inferred,0.147916972637177,0.0982572510838509,Tracked,11:50:27:278,
RIGHT_HAND_SWIPE_DOWN,-0.273610144853592,-0.187969580292702,Inferred,0.125741600990295,-0.0141394790261984,Tracked,-0.284203112125397,0.0405397489666939,Inferred,0.14450903236866,0.108181968331337,Tracked,11:50:27:433,
NONE,-0.27273228764534,-0.188351482152939,Inferred,0.128868892788887,-0.0478982925415039,Tracked,-0.283532112836838,0.0403561405837536,Inferred,0.150168284773827,0.0924707725644112,Tracked,11:50:27:456,
NONE,-0.272073179483414,-0.18903049826622,Inferred,0.132528573274612,-0.0650297179818153,Tracked,-0.282965898513794,0.0400608405470848,Inferred,0.151604294776917,0.0880816578865051,Tracked,11:50:27:493,
NONE,-0.270663678646088,-0.189806059002876,Inferred,0.132277965545654,-0.069053590297699,Tracked,-0.281837701797485,0.0397695489227772,Inferred,0.152498811483383,0.084222249686718,Tracked,11:50:27:546,
NONE,-0.269039928913116,-0.191511705517769,Inferred,0.12313948571682,-0.0530836842954159,Tracked,-0.280670881271362,0.0393767915666103,Inferred,0.153127327561378,0.082228846848011,Tracked,11:50:27:600,
NONE,-0.268514543771744,-0.191442489624023,Inferred,0.110265120863914,-0.00736827589571476,Tracked,-0.279838353395462,0.0388327203691006,Inferred,0.151518240571022,0.0843849182128906,Tracked,11:50:27:662,
NONE,-0.268220037221909,-0.192482709884644,Inferred,0.101995177567005,0.0229160375893116,Tracked,-0.279247611761093,0.0385147482156754,Inferred,0.150713726878166,0.0934996232390404,Tracked,11:50:27:709,
NONE,-0.270922839641571,-0.186652973294258,Inferred,0.08208067715168,0.0791967958211899,Tracked,-0.278672128915787,0.0385573171079159,Inferred,0.164163142442703,0.126454502344131,Tracked,11:50:27:742,
NONE,-0.271047472953796,-0.187369555234909,Inferred,0.0829123258590698,0.113179124891758,Tracked,-0.278267651796341,0.0384480617940426,Inferred,0.142024800181389,0.0671435371041298,Tracked,11:50:27:763,
NONE,-0.270266860723495,-0.187515214085579,Inferred,0.0780467689037323,0.129494816064835,Tracked,-0.277930349111557,0.0383439026772976,Inferred,0.141483813524246,0.0671707987785339,Tracked,11:50:27:795,
NONE,-0.270086318254471,-0.187424018979073,Inferred,0.0684874877333641,0.150429144501686,Tracked,-0.277694404125214,0.0382538475096226,Inferred,0.139717310667038,0.069082036614418,Tracked,11:50:27:835,
NONE,-0.269165217876434,-0.188514515757561,Inferred,0.0648820772767067,0.148829281330109,Tracked,-0.277534753084183,0.038149181753397,Inferred,0.137491285800934,0.0693577155470848,Tracked,11:50:27:875,
NONE,-0.268739700317383,-0.189610376954079,Inferred,0.0664343386888504,0.135492146015167,Tracked,-0.277386456727982,0.0381207168102264,Inferred,0.135984241962433,0.0689574331045151,Tracked,11:50:27:904,
NONE,-0.268633484840393,-0.189401984214783,Inferred,0.0736100003123283,0.0843620374798775,Tracked,-0.277188807725906,0.038003247231245,Inferred,0.122108705341816,0.0422222316265106,Tracked,11:50:27:947,
NONE,-0.268322616815567,-0.188809558749199,Inferred,0.0774821266531944,0.0509754307568073,Tracked,-0.277059286832809,0.037992849946022,Inferred,0.137422144412994,0.110111229121685,Tracked,11:50:28:005,
NONE,-0.268409848213196,-0.187258020043373,Inferred,0.0819648951292038,0.0104443179443479,Tracked,-0.277034074068069,0.0379932671785355,Inferred,0.138429224491119,0.0963345468044281,Tracked,11:50:28:049,
NONE,-0.268968880176544,-0.18773727118969,Inferred,0.087664783000946,0.033096294850111,Tracked,-0.277000725269318,0.0379396788775921,Inferred,0.138512015342712,0.0958139523863792,Tracked,11:50:28:096,
NONE,-0.269399642944336,-0.18714739382267,Inferred,0.0758051946759224,0.0329878926277161,Tracked,-0.276947319507599,0.0378380790352821,Inferred,0.131377935409546,0.106487900018692,Tracked,11:50:28:144,
NONE,-0.269024282693863,-0.186808899044991,Inferred,0.0750524178147316,0.04954794049263,Tracked,-0.276916801929474,0.0378490723669529,Inferred,0.142542585730553,0.109333880245686,Tracked,11:50:28:222,
NONE,-0.270007431507111,-0.185471132397652,Inferred,0.0753277242183685,0.0683129131793976,Tracked,-0.276825189590454,0.0378610342741013,Inferred,0.14280378818512,0.111416973173618,Tracked,11:50:28:317,
NONE,-0.269356846809387,-0.185674145817757,Inferred,0.0726735964417458,0.0872426703572273,Tracked,-0.276765525341034,0.0378001295030117,Inferred,0.127691358327866,0.0779123157262802,Tracked,11:50:28:364,
NONE,-0.269776731729507,-0.186137676239014,Inferred,0.0696622952818871,0.102572195231915,Tracked,-0.276639193296433,0.0376703105866909,Inferred,0.127560451626778,0.07525285333395,Tracked,11:50:28:461,
NONE,-0.269704580307007,-0.186127424240112,Inferred,0.0682007521390915,0.113279394805431,Tracked,-0.276509702205658,0.0376322418451309,Inferred,0.126617223024368,0.0733484104275703,Tracked,11:50:28:501,
NONE,-0.269643902778625,-0.184574156999588,Inferred,0.068177692592144,0.113713830709457,Tracked,-0.27632948756218,0.0375427678227425,Inferred,0.12507152557373,0.0645471960306168,Tracked,11:50:28:551,
NONE,-0.269094705581665,-0.186727061867714,Inferred,0.0711295008659363,0.10321169346571,Tracked,-0.276227861642838,0.037535984069109,Inferred,0.12511233985424,0.0644176229834557,Tracked,11:50:28:570,
NONE,-0.268408924341202,-0.186242446303368,Inferred,0.0755535960197449,0.0851180627942085,Tracked,-0.276139378547668,0.0374830588698387,Inferred,0.120329983532429,0.0505210794508457,Tracked,11:50:28:641,
NONE,-0.26936599612236,-0.186410441994667,Inferred,0.0802533701062202,0.0593059547245502,Tracked,-0.276048690080643,0.037473164498806,Inferred,0.119503349065781,0.0384250357747078,Inferred,11:50:28:706,
NONE,-0.269614398479462,-0.18565259873867,Inferred,0.0861295387148857,0.0273128189146519,Tracked,-0.276039361953735,0.0373527519404888,Inferred,0.12241218984127,0.101339623332024,Tracked,11:50:28:799,
NONE,-0.269315361976624,-0.185859933495522,Inferred,0.0917289257049561,-0.0326198637485504,Tracked,-0.275968015193939,0.0372922420501709,Inferred,0.132364138960838,0.0651287138462067,Tracked,11:50:28:887,
NONE,-0.269053876399994,-0.18694780766964,Inferred,0.102076962590218,-0.049714170396328,Tracked,-0.275932192802429,0.0372534766793251,Inferred,0.132579475641251,0.0669631883502007,Tracked,11:50:28:965,
