CLICK_STATE,X_POS,Y_POS,X_HAND,Y_HAND,HAND_STATE,HAND_CONFIDENCE,TRACKING_STATE,TIME,PARASITE
None,683.664626803211,116.533497249684,0.304804891347885,0.292814821004868,Open,High,Tracked,13:57:26:118,
None,705.417040192757,214.11339938086,0.307896107435226,0.285991787910461,Open,High,Tracked,13:57:26:143,
None,712.240443358176,295.725850983833,0.312869250774384,0.274885922670364,Open,High,Tracked,13:57:26:175,
None,717.032476181998,363.71063421527,0.3157759308815,0.263773322105408,Open,High,Tracked,13:57:26:234,
None,725.672168425131,421.641829723052,0.32008770108223,0.252017974853516,Open,High,Tracked,13:57:26:280,
None,731.865421795341,472.456383110586,0.322955548763275,0.238952934741974,Open,High,Tracked,13:57:26:302,
None,742.597416977436,517.442351597335,0.327851474285126,0.22672326862812,Open,High,Tracked,13:57:26:332,
None,751.088952314025,558.777398731231,0.331754297018051,0.213096424937248,Open,High,Tracked,13:57:26:373,
None,764.345966827761,602.258423262158,0.337658196687698,0.190662920475006,Open,High,Tracked,13:57:26:401,
None,768.968887956049,640.845284658707,0.339123606681824,0.180879056453705,Open,High,Tracked,13:57:26:429,
None,774.165773851562,674.202528330815,0.341074287891388,0.173433169722557,Open,High,Tracked,13:57:26:490,
None,781.686087460244,701.123737093317,0.344227731227875,0.170194745063782,Open,High,Tracked,13:57:26:526,
None,786.27525173314,721.553266324837,0.34600841999054,0.169964730739594,Open,High,Tracked,13:57:26:557,
None,791.184729600889,735.317072711973,0.347810536623001,0.173126757144928,Open,High,Tracked,13:57:26:583,
None,791.414282765921,743.418646200025,0.347539097070694,0.177386626601219,Open,High,Tracked,13:57:26:618,
None,794.827097571796,747.06843364558,0.348697394132614,0.181944042444229,Open,High,Tracked,13:57:26:656,
None,794.114241843785,745.802099858022,0.348223716020584,0.189446210861206,Open,High,Tracked,13:57:26:691,
None,794.053243762705,740.195229518593,0.348108410835266,0.197880953550339,Open,High,Tracked,13:57:26:728,
None,796.458558862231,727.578685309861,0.349188536405563,0.213173717260361,Open,High,Tracked,13:57:26:764,
None,797.903588014355,711.067970166668,0.349869579076767,0.225959047675133,Open,High,Tracked,13:57:26:797,
None,794.995096044166,695.226517780948,0.348612427711487,0.232119753956795,Open,High,Tracked,13:57:26:832,
None,792.688006518038,678.178214904775,0.347611486911774,0.241488799452782,Open,High,Tracked,13:57:26:866,
None,787.222670130427,656.171643212832,0.345484703779221,0.257576555013657,Open,High,Tracked,13:57:26:936,
None,785.252985448924,634.327262314039,0.344691097736359,0.267175823450089,Open,High,Tracked,13:57:26:984,
None,782.293547147999,615.250484078995,0.343456357717514,0.27195793390274,Open,High,Tracked,13:57:27:045,
None,777.394841351466,597.375936930317,0.341523915529251,0.278336435556412,Open,High,Tracked,13:57:27:074,
None,774.2901929112,580.278930528031,0.340275555849075,0.285053342580795,Open,High,Tracked,13:57:27:099,
None,771.105719821619,564.601372217454,0.338877707719803,0.290333360433578,Open,High,Tracked,13:57:27:144,
None,769.972818799898,550.039460902898,0.338593602180481,0.295582115650177,Open,High,Tracked,13:57:27:204,
None,768.950748966828,536.184872642404,0.338141530752182,0.300943493843079,Open,High,Tracked,13:57:27:251,
None,768.502709384699,523.965405099968,0.337939262390137,0.304347008466721,Open,High,Tracked,13:57:27:277,
None,767.046908161359,511.530244823941,0.337348431348801,0.310530304908752,Open,High,Tracked,13:57:27:322,
None,764.357230026844,499.031556942047,0.336167186498642,0.316422015428543,Open,High,Tracked,13:57:27:361,
None,758.989005989466,484.966058452107,0.333691000938416,0.325123935937881,Open,High,Tracked,13:57:27:385,
None,755.849618438075,471.975849005481,0.332327157258987,0.329690098762512,Open,High,Tracked,13:57:27:418,
None,754.511818870245,459.244940784722,0.331714034080505,0.335285127162933,Open,High,Tracked,13:57:27:461,
None,755.17268052807,448.077584710858,0.331900954246521,0.338338255882263,Open,High,Tracked,13:57:27:487,
None,755.605331437033,438.199101785959,0.332031697034836,0.341161131858826,Open,High,Tracked,13:57:27:522,
None,754.9035097151,428.642431018888,0.33164370059967,0.345157593488693,Open,High,Tracked,13:57:27:555,
None,755.364907975211,419.783704577202,0.331781953573227,0.348273724317551,Open,High,Tracked,13:57:27:582,
None,755.027666839876,410.792428702148,0.331607341766357,0.352533996105194,Open,High,Tracked,13:57:27:616,
None,752.611907087712,399.822382670768,0.33043697476387,0.360298454761505,Open,High,Tracked,13:57:27:656,
None,753.741763116658,388.526404016229,0.330898612737656,0.365891396999359,Open,High,Tracked,13:57:27:691,
None,754.960415063956,377.947465104997,0.33145335316658,0.369738787412643,Open,High,Tracked,13:57:27:721,
None,756.138336140151,368.909082694607,0.331959187984467,0.371732413768768,Open,High,Tracked,13:57:27:764,
None,756.60765792985,360.476144488924,0.332167685031891,0.374766796827316,Open,High,Tracked,13:57:27:812,
None,759.51628086747,353.31585225269,0.333470851182938,0.376284539699554,Open,High,Tracked,13:57:27:844,
None,760.395334265671,346.931413102852,0.333848029375076,0.378152549266815,Open,High,Tracked,13:57:27:884,
None,762.411283192246,342.104472904663,0.334766000509262,0.378258347511292,Open,High,Tracked,13:57:27:923,
None,761.71813806263,338.299652790819,0.334414482116699,0.378618061542511,Open,High,Tracked,13:57:27:968,
None,762.54974850888,335.622958334056,0.334751754999161,0.378286987543106,Open,High,Tracked,13:57:28:048,
None,765.033873260129,333.46967074056,0.33584526181221,0.378561794757843,Open,High,Tracked,13:57:28:081,
None,764.718438202089,332.088498281055,0.335684508085251,0.378196060657501,Open,High,Tracked,13:57:28:123,
